station_id,station_name,so_many,one_or_two,none,lines_served
17804,"Metropolitan Av / Lorimer St",18,34,110,"G L"
17839,"Halsey St",3,6,19,"J"
17925,"Grant City",5,3,17,"SIR"
17899,"Rector St",3,4,15,"N Q R W"
17543,"Prospect Av",4,2,13,"2 5"
17637,"Spring St",4,2,13,"4 6"
17923,"Oakwood Heights",2,4,13,"SIR"
17537,"E 180 St",12,9,46,"2 5"
17655,"Court Sq - 23 St",29,41,156,"7 E F M G"
17603,"Buhre Av",1,3,9,"6"
17609,"St Lawrence Av",2,2,9,"6"
17608,"Parkchester",8,5,30,"6"
20061,"Coney Island-Stillwell Av",14,11,58,"D F N Q"
17529,"233 St",0,3,7,"2 5"
17532,"Gun Hill Rd",2,7,21,"2 5"
17544,"Jackson Av",1,2,7,"2 5"
17560,"Grand Army Plaza",0,9,21,"2 3 4"
17654,"Queensboro Plaza",20,16,84,"7 N W"
20041,"90 St-Elmhurst Av",2,1,7,"7"
20044,"46 St-Bliss St",1,2,7,"7"
17551,"Chambers St / WTC / Park Place / Cortlandt St",16,27,102,"2 3 A C E N Q R W"
17536,"Bronx Park East",6,2,19,"2 5"
17591,"170 St",4,4,19,"4"
17540,"Freeman St",3,2,12,"2 5"
17524,"WTC Cortlandt",5,2,17,"1"
17931,"Stapleton",4,3,17,"SIR"
17798,"Steinway St",2,7,22,"E F M R"
17894,"28 St",4,5,22,"N Q R W"
17535,"Pelham Pkwy",5,6,27,"2 5"
17933,"St George",5,10,37,"SIR"
20038,"Flushing-Main St",9,12,52,"7"
17753,"Ocean Pkwy",0,4,10,"Q"
17769,"Carroll St",3,5,20,"F G"
20049,"Inwood-207 St",0,6,15,"A"
20566,"61 St-Woodside",2,4,15,"7"
17867,"Myrtle Av",9,12,53,"M J Z"
17718,"18 Av",1,8,23,"D"
17596,"Bowling Green",8,9,44,"4 5"
17774,"Fort Hamilton Pkwy",1,4,13,"F G"
17895,"23 St",4,9,34,"N Q R W"
17736,"23 St",4,10,37,"F M"
17528,"Nereid Av",3,0,8,"2 5"
17598,"Baychester Av",0,3,8,"5"
17682,"Spring St",1,5,16,"A C E"
17932,"Tompkinsville",2,4,16,"SIR"
20056,"Ozone Park-Lefferts Blvd",5,1,16,"A"
17504,"Cathedral Pkwy (110 St)",3,4,19,"1"
17868,"Flushing Av",5,2,19,"M J"
20972,"Lexington Av  /  63 St",2,5,19,"F N Q R"
17715,"62 St / New Utrecht Av",4,4,22,"D N Q W"
17815,"Broad Channel",4,4,22,"A S"
17897,"Prince St",7,3,28,"N Q R W"
17898,"City Hall",2,3,14,"N Q R W"
17914,"Arthur Kill",3,2,14,"SIR"
17703,"Rockaway Blvd",6,5,31,"A"
17684,"High St",3,9,34,"A C"
17775,"Church Av",1,7,23,"F G"
17748,"Kings Hwy",8,11,55,"B Q"
17717,"79 St",6,3,27,"D"
17739,"Prospect Park",7,6,39,"B Q S"
17743,"Cortelyou Rd",1,2,9,"B Q"
17803,"Nassau Av",3,1,12,"G"
17848,"Morgan Av",1,4,15,"L"
17863,"Forest Av",3,1,12,"M"
20028,"Sutter Av-Rutland Rd",3,2,15,"2 3 4 5"
17871,"Marcy Av",7,1,25,"M J Z"
20077,"Far Rockaway-Mott Av",5,3,25,"A"
20025,"Eastern Pkwy-Brooklyn Museum",2,4,19,"2 3 4"
17576,"Junius St",2,3,16,"2 3 4 5"
17883,"86 St",5,9,45,"N Q R"
20030,"Bedford Park Blvd-Lehman College",6,3,29,"4"
17888,"Broadway",1,3,13,"N W"
17875,"Fort Hamilton Pkwy",3,4,23,"D N Q W"
17674,"86 St",0,3,10,"A C B"
17832,"Cypress Hills",3,0,10,"J Z"
20074,"Clinton-Washington Avs",1,2,10,"G"
17929,"Grasmere",2,3,17,"SIR"
17505,"103 St",3,1,14,"1"
17849,"Jefferson St",1,5,21,"L"
17889,"36 Av",2,2,14,"N W"
17841,"Kosciuszko St",2,3,18,"J"
17650,"52 St",2,1,11,"7"
17845,"Graham Av",1,2,11,"L"
17901,"Union St",1,3,15,"D N R W"
20040,"103 St-Corona Plaza",3,1,15,"7"
17752,"Brighton Beach",1,8,34,"B Q"
17490,"238 St",3,0,12,"1"
17531,"219 St",3,0,12,"2 5"
17559,"Bergen St",1,2,12,"2 3 4"
17570,"Nostrand Av",2,0,8,"2 3 4 5"
17713,"50 St",1,1,8,"D"
17838,"Chauncey St",1,1,8,"J Z"
17870,"Hewes St",0,2,8,"M J"
17881,"86 St",1,1,8,"D N Q W"
17602,"Pelham Bay Park",1,6,29,"6"
17817,"Beach 60 St",3,3,25,"A"
17742,"Beverley Rd",2,3,21,"B Q"
17721,"25 Av",1,2,13,"D"
17834,"Norwood Av",2,1,13,"J Z"
17874,"8 Av",1,2,13,"D N Q W"
17880,"Avenue U",2,1,13,"D N Q W"
17579,"New Lots Av",1,3,18,"2 3 4 5"
17582,"Woodlawn",1,3,18,"4"
17705,"111 St",0,2,9,"A"
17855,"Atlantic Av",1,1,9,"L"
20018,"116 St-Columbia University",0,4,18,"1"
20045,"40 St-Lowery St",1,1,9,"7"
20088,"8 St-NYU",2,6,36,"N Q R W"
17530,"225 St",1,2,14,"2 5"
17750,"Neck Rd",1,2,14,"Q"
17585,"Kingsbridge Rd",2,2,19,"4"
17884,"96 St",2,3,24,"N Q R"
17887,"30 Av",0,6,29,"N W"
17520,"Houston St",1,1,10,"1 2"
17747,"Avenue M",2,0,10,"B Q"
17783,"Avenue U",2,0,10,"F"
17802,"Greenpoint Av",0,3,15,"G"
17856,"Sutter Av",0,2,10,"L"
20046,"33 St-Rawson St",1,1,10,"7"
17902,"Prospect Av",0,4,21,"D N R W"
17574,"Saratoga Av",2,0,11,"2 3 4 5"
20079,"85 St-Forest Pkwy",2,2,22,"J Z"
17539,"174 St",2,2,24,"2 5"
17816,"Beach 67 St",1,1,12,"A"
20083,"Canarsie-Rockaway Pkwy",2,2,25,"L"
17491,"231 St",2,1,19,"1"
20160,"34 St-Hudson Yards",0,5,32,"7"
17828,"104 St",0,2,13,"J Z"
17922,"Bay Terrace",2,2,26,"SIR"
20084,"Middle Village-Metropolitan Av",2,0,13,"M"
17751,"Sheepshead Bay",2,3,33,"B Q"
17601,"Morris Park",1,1,14,"5"
17738,"7 Av",1,2,21,"B Q"
17927,"Dongan Hills",1,2,21,"SIR"
20033,"Westchester Sq-E Tremont Av",1,1,14,"6"
17829,"Woodhaven Blvd",1,2,22,"J Z"
17840,"Gates Av",0,2,15,"J Z"
17882,"72 St",1,5,51,"N Q R"
17578,"Van Siclen Av",0,1,9,"2 3 4 5"
17777,"18 Av",1,0,9,"F"
17916,"Pleasant Plains",0,1,9,"SIR"
17926,"Jefferson Av",1,0,9,"SIR"
17833,"Crescent St",0,2,19,"J Z"
17702,"88 St",0,1,10,"A"
17919,"Annadale",0,1,10,"SIR"
17820,"Beach 25 St",1,0,11,"A"
20015,"Van Cortlandt Park-242 St",1,1,23,"1"
17776,"Ditmas Av",0,1,12,"F"
17862,"Fresh Pond Rd",0,2,24,"M"
17719,"20 Av",0,1,13,"D"
17784,"Avenue X",1,0,15,"F"
20060,"W 8 St-NY Aquarium",1,0,16,"F Q"
17749,"Avenue U",1,0,17,"Q"
17886,"Astoria Blvd",1,1,34,"N W"
20032,"Eastchester-Dyre Av",0,1,18,"5"
17522,"Franklin St",0,0,11,"1 2"
17642,"111 St",0,0,10,"7"
17716,"71 St",0,0,12,"D"
17779,"Bay Pkwy",0,0,12,"F"
17864,"Seneca Av",0,0,11,"M"
20085,"Astoria-Ditmars Blvd",0,0,25,"N W"
20161,"75 St-Elderts Ln",0,0,13,"J Z"
